Father,Son
165.1,151.892
160.782,160.528
165.1,160.782
167.132,159.512
155.194,163.322
160.02,163.068
166.116,162.814
164.338,162.56
167.894,164.084
170.18,162.56
149.86,165.608
159.766,166.116
161.798,166.878
162.814,166.116
164.338,165.862
165.608,164.592
168.656,165.1
166.624,166.37
171.196,165.354
169.672,166.37
172.212,165.354
176.53,166.37
158.75,169.164
162.052,168.656
163.83,167.894
165.1,167.64
164.338,167.64
166.878,168.91
166.37,166.878
166.624,167.64
169.926,167.386
169.164,167.386
168.91,168.91
172.466,167.132
173.482,168.402
171.958,167.894
173.99,168.402
176.276,168.402
182.372,168.656
158.496,170.688
163.83,171.45
163.83,170.18
162.306,169.672
166.116,170.18
165.1,169.672
166.878,176.022
174.498,175.514
168.91,156.718
164.846,166.878
176.784,175.26
164.592,171.196
165.862,170.688
167.132,170.434
167.132,170.942
166.624,171.704
167.386,171.45
167.132,169.926
170.434,171.704
169.164,170.688
171.196,169.672
170.942,170.688
169.164,171.45
173.228,171.704
172.212,170.688
173.482,171.45
172.974,171.196
175.26,171.704
175.006,170.942
176.784,169.672
178.816,169.418
177.8,169.926
184.912,171.704
159.512,172.72
159.766,173.99
162.306,172.72
163.83,173.482
163.83,173.482
167.64,173.482
167.132,173.228
167.64,173.99
166.37,172.974
166.878,173.482
169.672,172.72
169.418,174.244
170.18,172.466
169.926,172.974
169.672,173.736
170.434,172.466
171.958,173.228
173.482,172.72
171.704,173.228
173.736,172.466
171.958,174.244
174.498,172.72
176.022,173.482
174.498,172.466
175.514,174.244
176.022,173.228
174.244,174.244
176.784,172.974
178.816,173.736
180.848,172.212
179.832,174.244
182.118,172.466
186.182,172.212
160.02,174.752
161.798,176.784
166.116,177.038
164.084,176.276
168.656,177.038
167.132,175.768
166.878,176.53
167.894,176.784
168.91,176.022
169.164,176.53
169.164,174.498
171.958,176.022
173.99,175.768
172.212,175.768
171.704,176.53
172.974,175.514
175.768,175.006
174.498,176.53
174.244,176.022
174.244,175.768
174.244,174.498
178.816,176.022
177.8,175.006
178.054,176.022
178.308,175.768
181.102,176.784
180.086,175.514
183.388,175.514
190.5,175.26
164.846,177.546
166.624,178.054
166.878,177.546
167.386,178.562
167.386,179.07
171.196,179.07
171.45,177.292
171.704,178.816
173.99,177.8
173.99,177.292
172.974,179.578
176.53,178.308
175.514,178.054
176.276,177.8
176.276,178.562
176.53,177.292
178.308,177.8
177.546,177.546
178.816,177.038
180.086,178.054
181.102,177.8
183.134,179.578
183.388,177.8
191.516,178.054
163.83,181.102
168.656,179.832
166.624,181.356
169.672,180.848
169.926,182.118
173.228,181.356
171.45,179.578
172.212,181.102
175.26,180.34
176.022,181.102
174.498,180.086
177.038,181.102
178.562,181.864
177.8,180.848
178.308,180.34
180.086,181.356
180.848,181.864
183.896,180.594
185.42,180.086
189.992,182.118
171.196,183.896
170.942,182.626
172.212,183.642
176.022,183.388
174.498,184.15
177.8,182.88
177.292,183.642
179.578,184.15
180.594,183.642
184.15,182.88
184.15,183.388
171.45,184.912
173.228,185.42
174.752,185.166
177.546,185.928
181.61,186.944
179.832,185.166
182.626,185.928
160.274,188.722
173.228,188.976
178.054,187.452
179.832,187.706
184.404,187.452
172.466,192.024
171.45,192.278
184.912,196.088
159.258,155.702
173.228,188.722
165.354,180.086
186.436,191.262
159.766,156.972
158.75,162.56
177.546,158.75
180.594,187.198
180.594,168.402
176.53,157.988
178.308,166.116
166.37,162.56
157.48,159.512
161.544,161.29
166.624,161.29
172.72,159.766
156.972,161.798
162.052,161.798
164.846,163.576
167.132,161.798
168.656,163.576
174.752,163.322
156.972,165.608
163.322,165.354
161.798,166.624
165.1,164.846
165.862,165.354
164.592,165.608
166.878,166.624
167.64,166.624
170.18,164.846
172.212,166.116
175.26,164.338
157.988,167.132
159.512,167.132
162.306,169.418
166.116,168.91
164.084,168.656
166.624,168.402
168.148,168.148
167.64,168.656
167.132,169.418
171.196,168.148
170.434,168.656
170.942,169.418
172.466,167.132
173.482,168.148
172.72,168.402
174.498,167.132
180.848,168.402
158.496,169.926
159.766,169.672
162.814,171.196
162.306,171.958
164.592,170.688
166.116,170.942
164.592,171.45
174.498,175.26
165.608,157.48
163.322,162.814
167.894,167.64
175.26,167.132
163.83,169.926
167.894,169.672
166.878,170.18
168.91,171.196
166.624,169.672
168.656,170.942
170.942,171.45
169.672,170.688
169.418,171.704
170.942,169.926
171.196,169.418
172.466,170.688
172.212,170.688
172.974,169.672
173.482,169.672
174.752,171.45
176.276,170.434
176.022,170.434
179.07,169.926
178.054,171.45
179.324,169.926
158.496,171.958
160.528,172.466
161.29,174.498
162.306,174.244
164.084,173.736
164.846,173.736
167.386,173.736
168.148,173.736
168.91,172.466
166.37,173.482
169.926,172.72
170.434,173.228
169.672,174.244
170.688,174.244
168.91,172.212
170.18,172.466
169.164,173.228
173.228,172.72
171.704,172.466
173.482,172.212
172.72,174.244
175.26,172.974
176.022,172.466
175.006,173.99
175.006,174.244
176.276,172.974
176.53,172.974
178.562,171.958
177.546,173.736
179.578,174.244
179.324,173.482
183.896,172.974
184.15,173.736
159.258,176.276
162.306,175.26
163.83,176.276
164.592,175.006
166.116,176.276
167.132,176.022
168.402,175.26
167.132,176.784
169.672,175.768
170.688,177.038
170.942,175.006
171.45,175.514
172.466,175.26
173.736,175.768
171.704,176.784
173.99,174.752
174.244,175.768
175.514,175.514
174.244,175.26
175.768,176.022
174.244,175.768
173.99,175.006
177.038,176.276
178.816,174.498
177.8,174.752
178.562,176.276
181.102,176.276
181.102,176.53
184.404,175.768
163.576,177.8
164.846,177.546
168.402,177.8
167.64,177.038
166.878,177.292
169.418,177.546
169.164,178.562
173.482,177.292
172.466,177.546
172.72,178.562
173.482,179.578
174.752,178.816
175.514,178.816
175.26,179.324
176.276,178.308
177.292,177.546
176.784,178.308
179.07,178.562
177.546,178.562
180.34,177.292
180.848,179.07
181.61,177.8
181.864,177.038
185.928,177.546
162.306,180.086
167.64,181.356
167.64,180.848
171.45,179.832
169.418,179.578
173.482,181.102
171.958,180.086
173.482,180.086
173.736,180.086
175.514,180.848
175.514,181.102
177.038,180.848
177.8,181.356
176.784,181.864
177.8,180.34
180.086,180.848
179.324,181.356
183.642,181.356
181.61,180.086
185.42,181.102
168.148,183.134
170.942,182.88
172.212,182.88
175.514,182.118
176.276,182.626
176.784,183.388
178.054,183.642
178.308,184.404
181.102,182.88
183.134,182.372
183.642,182.372
170.434,185.674
172.466,186.436
175.514,185.928
176.784,186.436
177.038,185.928
179.07,185.166
183.896,184.912
184.912,186.182
172.974,187.96
174.244,189.484
181.102,187.706
183.134,189.484
189.738,188.722
180.848,190.754
173.482,196.088
153.416,154.432
162.306,158.496
160.274,168.656
162.56,148.59
187.706,177.8
182.88,180.34
154.94,165.1
166.116,179.07
182.88,175.768
181.102,164.846
165.608,174.752
175.006,177.546
163.83,158.75
162.56,160.782
168.91,161.29
170.434,159.766
158.242,162.306
162.052,163.322
166.116,163.068
166.624,164.084
168.148,163.322
171.704,162.052
152.908,166.878
160.02,164.592
161.544,166.624
165.608,164.338
165.354,164.592
164.592,165.354
168.148,166.624
168.148,165.862
169.164,165.354
172.72,165.354
175.26,164.592
157.734,167.64
160.528,168.656
163.83,168.656
162.052,168.402
164.084,167.132
164.084,167.894
167.894,168.91
167.64,168.402
166.878,169.164
170.434,167.64
170.942,168.91
170.688,167.64
173.736,168.91
171.704,168.656
171.704,168.402
173.99,168.402
177.8,169.164
155.194,169.672
159.258,171.45
163.322,170.688
162.814,169.672
161.798,170.942
164.338,169.672
164.338,169.926
172.72,172.974
164.084,161.544
167.894,160.528
165.862,166.878
177.038,170.688
165.862,171.196
166.37,171.704
167.894,170.688
168.148,170.434
167.64,169.672
167.64,170.434
167.386,169.926
170.434,169.672
170.18,170.18
171.196,171.958
171.196,171.704
170.942,171.958
173.482,170.942
173.482,170.18
171.704,170.18
173.228,170.434
175.514,170.688
174.752,171.45
179.07,171.958
177.8,169.926
176.53,170.18
156.21,171.958
159.766,173.99
162.814,172.466
162.306,172.212
165.354,173.482
164.084,173.228
167.386,174.244
168.148,172.212
166.878,172.466
167.894,171.958
168.402,172.72
170.688,172.974
169.926,172.212
169.926,172.974
169.164,173.228
170.688,174.244
170.434,173.482
172.466,173.736
172.466,174.244
172.212,173.482
172.466,172.466
174.244,171.958
174.244,173.736
175.26,172.974
175.26,172.72
175.514,173.228
173.99,172.974
178.308,173.99
177.292,174.244
177.546,171.958
181.61,174.498
183.896,174.244
182.626,173.736
154.94,175.514
160.02,176.276
164.084,176.53
166.116,175.514
164.592,176.784
166.37,176.276
166.624,175.768
167.894,174.752
171.196,175.514
169.164,175.26
171.196,175.514
170.688,175.514
173.228,174.498
172.466,175.26
172.72,175.26
171.958,175.768
175.006,174.752
174.498,174.498
175.514,175.26
174.752,176.022
174.752,176.276
176.022,175.006
176.784,176.022
177.292,176.784
178.308,176.276
178.054,175.26
180.594,176.53
181.356,174.498
182.372,175.768
163.576,178.816
165.608,178.054
167.894,178.816
167.132,177.8
166.37,177.292
169.418,178.816
170.688,177.8
170.688,178.562
172.974,177.546
172.466,179.578
173.228,178.562
176.022,177.038
174.752,178.562
175.768,177.8
174.498,177.038
176.53,178.308
177.8,177.8
177.038,178.562
178.308,178.816
179.832,177.292
180.086,177.292
181.102,179.07
183.642,177.8
184.912,179.324
163.576,180.594
164.846,180.848
167.132,180.34
171.196,180.086
171.196,179.832
172.466,181.61
172.466,181.864
173.99,179.832
171.704,180.34
176.276,181.864
176.022,180.594
176.53,181.61
178.308,181.356
177.8,181.61
177.292,180.34
176.784,181.864
181.61,181.356
183.388,180.848
183.896,180.086
184.15,181.61
164.338,183.896
169.672,184.404
172.212,182.372
173.228,182.88
175.768,182.88
175.006,183.896
178.054,182.626
178.054,183.134
180.34,184.404
181.356,184.15
182.88,182.372
184.658,184.404
172.72,185.674
175.26,185.928
175.006,186.436
176.784,186.436
180.848,187.198
182.88,184.912
185.166,185.42
167.386,189.738
173.99,187.706
179.578,188.976
183.642,187.96
184.404,187.706
174.752,192.278
186.69,193.294
178.054,198.628
172.466,157.226
164.338,177.546
154.432,158.242
190.246,181.356
179.324,181.864
154.686,166.37
165.862,182.626
181.356,180.848
182.118,163.83
159.258,165.862
181.356,176.784
169.164,165.354
170.688,154.94
158.75,160.274
164.846,161.544
169.926,161.29
158.496,162.052
161.544,163.068
166.116,164.338
165.1,162.814
168.656,163.576
169.418,164.084
151.13,164.592
160.02,165.608
162.814,166.624
162.814,166.624
163.83,164.846
165.608,166.624
168.402,166.878
167.64,166.624
169.672,165.354
173.228,164.846
174.498,166.878
155.702,168.91
160.782,168.148
162.306,167.386
162.814,168.402
164.592,168.402
164.084,168.148
168.148,167.894
168.91,168.148
168.656,167.132
170.942,169.164
171.196,168.91
170.942,168.402
171.958,168.91
173.736,168.402
172.212,167.386
176.022,169.164
177.038,169.164
152.4,170.942
157.734,171.196
161.544,171.45
162.052,169.926
163.83,170.434
164.338,170.18
166.116,169.926
165.354,172.974
176.022,171.45
171.958,160.02
164.846,171.196
176.53,174.752
165.354,169.926
165.1,170.942
166.624,170.688
167.386,170.434
166.878,170.434
167.386,170.688
167.386,169.418
171.196,169.672
168.91,171.196
171.196,171.196
170.688,170.18
170.942,171.196
172.974,169.926
172.72,169.926
172.72,169.672
173.736,169.672
174.752,170.688
176.53,171.45
178.308,171.958
177.038,170.434
178.308,171.704
155.194,172.72
159.258,174.498
163.322,173.736
163.322,172.72
165.1,174.244
164.592,173.99
168.148,172.212
167.894,172.974
168.656,173.228
168.148,173.99
167.386,174.244
170.18,174.498
171.45,173.736
169.418,173.99
169.418,174.244
170.942,172.466
170.434,172.72
172.212,172.72
173.736,174.244
171.958,172.974
172.974,172.466
171.958,174.244
175.26,172.466
175.768,174.244
176.022,174.498
176.022,173.736
174.752,173.228
176.784,173.482
176.784,172.974
177.546,172.212
179.324,173.228
183.642,172.72
181.864,172.72
185.166,172.974
160.782,175.768
163.322,175.768
165.354,175.006
165.608,176.022
167.386,176.53
167.64,175.26
166.624,176.022
167.132,176.784
169.926,176.276
170.18,175.26
171.196,176.022
172.466,175.514
172.212,176.022
173.736,176.022
173.482,174.498
173.736,176.53
174.498,176.53
175.26,175.006
176.022,174.752
174.752,176.276
175.006,174.752
177.292,175.514
177.038,175.768
178.816,176.022
178.562,174.752
180.34,175.514
181.102,176.276
182.88,174.498
160.782,178.816
164.846,179.07
166.878,178.054
167.894,177.292
168.91,178.562
167.894,178.562
169.418,177.038
170.434,178.054
171.704,178.816
173.228,177.546
173.482,177.292
172.974,177.546
175.768,178.562
175.768,178.308
173.99,178.816
174.752,178.816
177.038,179.578
177.546,177.038
179.07,179.07
180.848,179.07
179.324,179.07
179.07,179.07
183.896,178.562
185.928,178.562
162.814,181.356
164.084,180.34
166.878,181.864
170.434,180.086
169.672,181.356
173.736,181.61
173.482,180.848
173.482,181.864
173.736,181.864
174.498,181.102
174.498,180.594
175.26,181.61
178.308,180.34
177.546,181.61
178.308,180.086
178.308,181.356
181.356,181.102
179.578,180.848
183.896,181.61
185.42,179.832
164.338,184.658
170.434,182.88
172.212,183.642
173.736,183.388
175.768,183.896
174.244,182.88
177.546,182.372
178.308,184.15
179.07,184.404
180.34,182.626
182.372,184.404
184.912,183.896
172.72,185.674
172.212,186.944
176.022,186.182
179.07,185.674
181.356,187.198
183.642,186.944
182.626,185.166
164.084,187.706
172.212,188.722
177.546,187.706
180.086,188.468
184.658,189.23
175.26,190.754
183.896,194.056
175.514,199.136
178.308,155.448
183.896,184.404
151.384,164.846
186.182,185.42
172.974,182.372
160.528,165.862
167.64,154.686
181.61,183.134
172.974,180.34
165.862,156.718
178.816,171.45
173.736,163.576
157.226,160.782
165.1,161.29
168.148,161.798
151.13,162.306
159.512,162.306
162.306,162.306
164.084,162.814
166.624,164.338
168.402,163.576
179.324,162.306
157.734,164.592
163.576,165.862
163.576,165.608
164.846,166.37
165.862,165.608
165.608,166.116
167.894,166.624
167.894,164.338
171.196,164.592
172.212,166.624
178.562,166.116
160.528,168.91
161.798,166.878
162.814,167.894
164.338,168.402
165.354,169.164
167.386,168.656
166.878,168.91
167.64,168.402
170.942,168.656
169.418,168.402
169.164,167.894
169.672,168.91
173.228,168.402
171.45,167.894
173.736,167.386
175.514,166.878
179.832,167.894
156.718,171.704
160.02,171.196
163.322,170.18
162.306,170.688
166.37,170.688
164.338,171.196
164.338,171.196
171.45,173.228
169.672,159.258
165.1,168.402
176.276,166.878
161.798,173.736
164.084,171.45
167.64,170.688
167.64,170.688
168.91,171.45
168.402,169.926
166.878,171.958
169.926,170.18
169.418,169.418
168.91,169.672
170.434,171.196
170.18,169.926
171.704,171.45
171.704,169.926
171.45,170.18
172.974,169.926
174.244,170.18
173.99,170.434
175.768,171.45
177.292,171.45
177.546,170.942
179.07,171.704
159.512,172.212
160.528,172.974
163.576,173.99
163.322,174.244
164.338,172.466
164.338,174.244
167.64,173.228
166.624,173.482
167.132,173.228
167.386,173.228
169.164,173.228
169.672,174.244
169.672,173.482
170.688,174.498
170.434,173.99
169.926,171.958
172.72,172.72
172.72,172.212
173.482,172.974
173.482,174.244
173.228,173.228
173.99,173.228
173.99,173.228
175.514,172.974
175.768,172.974
176.022,173.99
176.276,173.736
178.562,173.228
177.038,171.958
179.07,172.466
181.102,173.482
183.388,173.482
183.642,173.482
159.766,176.784
162.306,174.498
164.084,175.006
166.37,174.752
167.386,175.514
168.402,175.26
167.132,175.26
168.91,174.498
170.942,176.53
171.196,175.514
170.434,175.514
173.99,176.784
171.958,176.276
172.974,175.768
171.704,174.752
172.212,175.26
176.022,176.53
175.514,176.784
174.498,176.276
175.26,176.784
175.006,176.276
174.752,175.006
177.546,174.498
179.07,176.022
177.8,174.498
177.292,174.752
181.356,176.53
180.594,177.038
184.658,177.038
165.862,179.07
167.64,177.8
166.37,179.324
166.624,179.07
167.386,177.8
170.434,177.546
169.926,179.07
172.466,177.546
171.958,177.038
171.45,179.324
172.72,178.308
174.752,178.562
176.276,178.308
174.244,179.07
175.514,179.07
179.07,178.308
177.546,177.8
177.8,178.308
176.784,178.308
180.34,177.8
179.324,178.816
181.61,178.816
181.864,178.308
187.706,178.308
165.1,179.578
168.402,181.61
167.386,181.356
169.926,180.848
170.688,180.086
172.974,181.102
171.704,181.356
171.704,180.848
176.276,180.848
175.006,180.848
175.514,180.34
177.292,181.356
177.8,180.848
176.784,181.864
178.562,181.102
179.578,181.61
180.086,180.086
184.15,181.61
185.42,180.594
188.976,180.086
171.196,184.658
168.91,182.372
172.72,184.404
174.752,184.15
176.022,182.626
178.562,183.388
178.308,184.404
179.832,183.642
179.578,183.134
183.896,183.642
183.896,183.134
170.688,184.912
172.212,184.912
175.006,186.69
178.816,187.198
180.848,184.912
181.356,186.436
182.118,185.42
184.404,185.928
171.704,189.23
174.244,187.452
180.34,187.452
182.88,187.452
191.008,187.452
185.674,192.024
177.546,196.088
166.37,152.654
184.404,195.072
183.388,169.418
160.528,149.352
186.182,172.466
167.132,154.94
171.958,151.892
170.18,179.832
181.102,173.482
182.372,176.022
179.578,176.022
178.562,170.18
